month,total_inflation
2014-01-01,0.0
2014-02-01,-0.0025421977
2014-03-01,-0.0064950585
2014-04-01,-0.005173564
2014-05-01,-0.0059363246
2014-06-01,-0.011561513
2014-07-01,-0.012634158
2014-08-01,0.01566577
2014-09-01,0.011076212
2014-10-01,0.0012848377
2014-11-01,-0.021104515
2014-12-01,-0.0015689135
2015-01-01,-0.003625393
2015-02-01,0.0021381378
2015-03-01,-0.0066804886
2015-04-01,-0.012420118
2015-05-01,-0.008423984
2015-06-01,-0.016839206
2015-07-01,-0.011694849
2015-08-01,0.010703206
2015-09-01,0.0155825615
2015-10-01,0.011998773
2015-11-01,-0.025004268
2015-12-01,0.0066087246
2016-01-01,0.0014039278
2016-02-01,0.007341385
2016-03-01,-0.010225236
2016-04-01,-0.0076057315
2016-05-01,-0.009355187
2016-06-01,-0.017672718
2016-07-01,-0.0135627985
2016-08-01,0.013625741
2016-09-01,0.0077984333
2016-10-01,0.0043079853
2016-11-01,-0.03536439
2016-12-01,0.011209965
2017-01-01,-0.0037343502
2017-02-01,0.0018874407
2017-03-01,-0.00017559528
2017-04-01,-0.014441669
2017-05-01,-0.0074940324
2017-06-01,-0.011096418
2017-07-01,-0.008201718
2017-08-01,0.01669836
2017-09-01,0.017193437
2017-10-01,0.0075603724
2017-11-01,-0.025119781
2017-12-01,0.0031015873
2018-01-01,0.0036662817
2018-02-01,-0.0026021004
2018-03-01,-0.004969299
2018-04-01,-0.0015013814
2018-05-01,-0.0064576864
2018-06-01,-0.013167143
2018-07-01,-0.017166376
2018-08-01,0.013944626
2018-09-01,0.0164541
2018-10-01,0.010143161
2018-11-01,-0.036396563
2018-12-01,0.002703309
2019-01-01,-0.009890556
2019-02-01,0.008104324
2019-03-01,-0.0063195825
2019-04-01,-0.0065692663
2019-05-01,-0.013098717
2019-06-01,-0.01160723
2019-07-01,-0.018302858
2019-08-01,0.012032509
2019-09-01,0.010103464
2019-10-01,0.0027070045
2019-11-01,-0.020535707
2019-12-01,-0.00836283
2020-01-01,0.038385034
2020-02-01,-0.005092323
2020-03-01,-0.0068994164
2020-04-01,-0.014898896
2020-05-01,0.008990884
2020-06-01,0.008984089
2020-07-01,-0.014152467
2020-08-01,0.0062636137
2020-09-01,0.012238622
2020-10-01,0.022239923
2020-11-01,-0.034541845
2020-12-01,0.0119508505
2021-01-01,0.014517069
2021-02-01,-0.0075428486
2021-03-01,0.00271523
2021-04-01,0.002243638
2021-05-01,0.0020688772
2021-06-01,0.006095171
2021-07-01,-0.006734729
2021-08-01,0.006742358
2021-09-01,0.013779998
2021-10-01,0.008755207
2021-11-01,-0.020003557
2021-12-01,0.008381009
2022-01-01,0.01101315
2022-02-01,0.00068736076
2022-03-01,0.0026489496
2022-04-01,-0.0047074556
2022-05-01,-0.006703675
2022-06-01,-0.010226846
2022-07-01,-0.020102203
2022-08-01,0.021145582
2022-09-01,0.008363724
2022-10-01,0.0034428835
2022-11-01,-0.03188008
2022-12-01,0.011119723
2023-01-01,0.017124772
2023-02-01,-0.003302455
2023-03-01,0.0003412962
2023-04-01,-0.0066823363
2023-05-01,-0.011545837
2023-06-01,-0.013282537
2023-07-01,-0.009321749
2023-08-01,0.0038011074
2023-09-01,-0.0060631037
