month,total_inflation
2014-01-01,0.0
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,-0.042313695
2015-02-01,-0.037819922
2015-03-01,-0.03799951
2015-04-01,-0.04500699
2015-05-01,-0.0473969
2015-06-01,-0.0524832
2015-07-01,-0.0515818
2015-08-01,-0.056215823
2015-09-01,-0.052009463
2015-10-01,-0.041865826
2015-11-01,-0.045682907
2015-12-01,-0.037866592
2016-01-01,-0.033010125
2016-02-01,-0.027989388
2016-03-01,-0.03145808
2016-04-01,-0.026736498
2016-05-01,-0.027650535
2016-06-01,-0.028474867
2016-07-01,-0.030311108
2016-08-01,-0.027507186
2016-09-01,-0.034960985
2016-10-01,-0.04229486
2016-11-01,-0.05247122
2016-12-01,-0.04813999
2017-01-01,-0.053024054
2017-02-01,-0.058151186
2017-03-01,-0.048588157
2017-04-01,-0.055141807
2017-05-01,-0.0533666
2017-06-01,-0.047029257
2017-07-01,-0.04185009
2017-08-01,-0.038945615
2017-09-01,-0.029986322
2017-10-01,-0.026845038
2017-11-01,-0.01650995
2017-12-01,-0.024396062
2018-01-01,-0.017148852
2018-02-01,-0.0215531
2018-03-01,-0.026244342
2018-04-01,-0.013459027
2018-05-01,-0.01242888
2018-06-01,-0.014496863
2018-07-01,-0.023404539
2018-08-01,-0.026049733
2018-09-01,-0.026757658
2018-10-01,-0.024262846
2018-11-01,-0.03554952
2018-12-01,-0.03593248
2019-01-01,-0.048954487
2019-02-01,-0.03874564
2019-03-01,-0.04005009
2019-04-01,-0.04492235
2019-05-01,-0.051306307
2019-06-01,-0.049806654
2019-07-01,-0.050905406
2019-08-01,-0.052695155
2019-09-01,-0.058613718
2019-10-01,-0.06554371
2019-11-01,-0.050162673
2019-12-01,-0.060645282
2020-01-01,-0.014844477
2020-02-01,-0.027740717
2020-03-01,-0.028308034
2020-04-01,-0.036455333
2020-05-01,-0.014888525
2020-06-01,0.005634427
2020-07-01,0.009886026
2020-08-01,0.00412941
2020-09-01,0.006251931
2020-10-01,0.025853992
2020-11-01,0.011184454
2020-12-01,0.0318985
2021-01-01,0.008179784
2021-02-01,0.005696535
2021-03-01,0.015433073
2021-04-01,0.033103347
2021-05-01,0.026015997
2021-06-01,0.023078322
2021-07-01,0.030776143
2021-08-01,0.03126657
2021-09-01,0.032836914
2021-10-01,0.019212365
2021-11-01,0.034560084
2021-12-01,0.030910492
2022-01-01,0.027349949
2022-02-01,0.03586948
2022-03-01,0.035801053
2022-04-01,0.028617263
2022-05-01,0.019612312
2022-06-01,0.0030709505
2022-07-01,-0.010428488
2022-08-01,0.0037289858
2022-09-01,-0.0016335249
2022-10-01,-0.0068911314
2022-11-01,-0.01892656
2022-12-01,-0.016261995
2023-01-01,-0.010315299
2023-02-01,-0.014261305
2023-03-01,-0.016530097
2023-04-01,-0.018481493
2023-05-01,-0.023266256
2023-06-01,-0.026281714
2023-07-01,-0.01556921
2023-08-01,-0.0322901
2023-09-01,-0.046135306
