month,electronics,personal_care_products,office_supplies,jewelry,books,furniture_and_bedding,toys,home_garden,pet_products,grocery,nonprescription_drugs,tools_home_improvement,appliances,flowers_related_gifts,computers,sporting_goods,medical_equipment_and_supplies,apparel
2014-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-01,0.99784863,0.9996041,0.9910046,0.9993629,0.93777156,0.9959007,0.98228323,0.998687,0.9966368,1.0041192,0.9979312,0.99807644,0.9948692,1.0620499,0.99196696,1.0044153,0.99726266,1.0
2014-03-01,0.99196047,0.99835783,1.0023779,1.0078906,0.90447396,0.99509543,0.97639185,0.99742955,0.9950605,1.0019213,1.0042254,0.9961981,1.000418,1.0016893,0.983228,0.9936059,1.0021663,0.9893619
2014-04-01,0.98682576,0.9979354,0.99502903,1.0017235,0.90447116,1.0032214,0.97542226,0.99753934,0.99417716,0.99991584,1.0019481,0.9974005,0.9882565,1.0105778,0.973719,0.99308574,0.9965818,0.9775066
2014-05-01,0.9818921,0.9981699,1.0012808,0.99654025,0.90615886,1.0035628,0.9735573,0.99746734,0.99471337,1.0013065,0.9933853,0.99548674,0.97648394,1.0356517,0.9709047,0.98541677,0.9956652,0.95481056
2014-06-01,0.969791,0.99507135,0.9958217,0.9888889,0.9132361,1.0025066,0.95643324,0.9978642,0.9969043,0.99885833,0.9913171,0.9951377,0.97318923,1.0172646,0.95727974,0.9777586,0.97462994,0.9262719
2014-07-01,0.9649788,0.9938045,0.9886585,0.98560166,0.9172401,0.99727374,0.9461462,0.99515724,1.0012808,1.0009167,1.0002769,0.9929138,0.95925045,1.0196462,0.9587741,0.97053516,1.003094,0.87855566
2014-08-01,0.9539457,0.994519,0.9767907,0.9815119,0.91330284,0.99544716,0.9494755,0.99396,1.0007353,1.0064533,0.9920572,0.99195164,0.96781164,1.0184623,0.94828624,0.96515113,0.9987978,0.95838565
2014-09-01,0.94314337,0.99139935,0.9952164,0.97845024,0.9486115,0.9967578,0.94382894,0.99303484,0.9992605,1.0162312,0.9921756,0.99409455,0.9754653,1.0166842,0.9434053,0.96496665,1.0018567,1.0088906
2014-10-01,0.93194836,0.99777013,0.9836568,0.97306794,0.9610468,1.0030783,0.9350498,0.99364674,0.9973822,1.0161366,0.99199575,0.9968553,0.96618026,1.0209936,0.93572694,0.96197605,1.0047303,1.0291322
