month,total_inflation
2014-01-01,0.0
2014-02-01,-0.0025421977
2014-03-01,-0.009020746
2014-04-01,-0.014147639
2014-05-01,-0.01999998
2014-06-01,-0.031330287
2014-07-01,-0.04356861
2014-08-01,-0.028585374
2014-09-01,-0.017825723
2014-10-01,-0.016563773
2014-11-01,-0.037318707
2014-12-01,-0.03882909
2015-01-01,-0.042313695
2015-02-01,-0.040265977
2015-03-01,-0.04667747
2015-04-01,-0.058517873
2015-05-01,-0.06644893
2015-06-01,-0.082169175
2015-07-01,-0.09290308
2015-08-01,-0.083194256
2015-09-01,-0.068908095
2015-10-01,-0.05773616
2015-11-01,-0.0812968
2015-12-01,-0.07522535
2016-01-01,-0.073927045
2016-02-01,-0.06712836
2016-03-01,-0.07666719
2016-04-01,-0.08368981
2016-05-01,-0.09226209
2016-06-01,-0.10830426
2016-07-01,-0.120398164
2016-08-01,-0.10841298
2016-09-01,-0.10145998
2016-10-01,-0.097589076
2016-11-01,-0.1295023
2016-12-01,-0.119744
2017-01-01,-0.1230312
2017-02-01,-0.12137598
2017-03-01,-0.121530235
2017-04-01,-0.13421679
2017-05-01,-0.14070499
2017-06-01,-0.15024006
2017-07-01,-0.15720958
2017-08-01,-0.14313638
2017-09-01,-0.1284039
2017-10-01,-0.12181431
2017-11-01,-0.14387417
2017-12-01,-0.14121878
2018-01-01,-0.13807023
2018-02-01,-0.14031303
2018-03-01,-0.14458507
2018-04-01,-0.14586937
2018-05-01,-0.15138507
2018-06-01,-0.16255891
2018-07-01,-0.17693472
2018-08-01,-0.16545743
2018-09-01,-0.15172577
2018-10-01,-0.1431216
2018-11-01,-0.17430902
2018-12-01,-0.17207694
2019-01-01,-0.18026555
2019-02-01,-0.17362213
2019-03-01,-0.17884451
2019-04-01,-0.18423891
2019-05-01,-0.19492435
2019-06-01,-0.20426905
2019-07-01,-0.21883321
2019-08-01,-0.2094338
2019-09-01,-0.2014463
2019-10-01,-0.19928461
2019-11-01,-0.21572787
2019-12-01,-0.22228658
2020-01-01,-0.19243407
2020-02-01,-0.19654644
2020-03-01,-0.20208979
2020-04-01,-0.21397775
2020-05-01,-0.20691073
2020-06-01,-0.19978553
2020-07-01,-0.21111053
2020-08-01,-0.20616919
2020-09-01,-0.19645381
2020-10-01,-0.17858297
2020-11-01,-0.20695621
2020-12-01,-0.19747865
2021-01-01,-0.18582839
2021-02-01,-0.19196957
2021-03-01,-0.18977559
2021-04-01,-0.18795776
2021-05-01,-0.18627775
2021-06-01,-0.18131793
2021-07-01,-0.18683153
2021-08-01,-0.18134886
2021-09-01,-0.17006785
2021-10-01,-0.16280162
2021-11-01,-0.17954856
2021-12-01,-0.17267233
2022-01-01,-0.16356087
2022-02-01,-0.16298592
2022-03-01,-0.16076869
2022-04-01,-0.16471934
2022-05-01,-0.17031878
2022-06-01,-0.1788038
2022-07-01,-0.19531167
2022-08-01,-0.17829609
2022-09-01,-0.17142355
2022-10-01,-0.16857088
2022-11-01,-0.19507688
2022-12-01,-0.18612635
2023-01-01,-0.172189
2023-02-01,-0.17492282
2023-03-01,-0.17464125
2023-04-01,-0.18015659
2023-05-01,-0.18962234
2023-06-01,-0.20038623
2023-07-01,-0.20784003
2023-08-01,-0.20482898
2023-09-01,-0.20965016
