month,electronics,personal_care_products,office_supplies,jewelry,books,furniture_and_bedding,toys,home_garden,pet_products,grocery,nonprescription_drugs,tools_home_improvement,appliances,flowers_related_gifts,computers,sporting_goods,medical_equipment_and_supplies,apparel
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,,,,,,,,,,,,,,,,,,
2014-03-01,,,,,,,,,,,,,,,,,,
2014-04-01,,,,,,,,,,,,,,,,,,
2014-05-01,,,,,,,,,,,,,,,,,,
2014-06-01,,,,,,,,,,,,,,,,,,
2014-07-01,,,,,,,,,,,,,,,,,,
2014-08-01,,,,,,,,,,,,,,,,,,
2014-09-01,,,,,,,,,,,,,,,,,,
2014-10-01,,,,,,,,,,,,,,,,,,
2014-11-01,,,,,,,,,,,,,,,,,,
2014-12-01,,,,,,,,,,,,,,,,,,
2015-01-01,-0.0933246,-0.007624805,-0.013924956,-0.046012104,-0.015575767,-0.00875622,-0.073346615,-0.014104426,-0.012237012,0.026352406,-0.009554803,0.0015493631,-0.037652194,0.0154851675,-0.08874655,-0.05449164,0.0036998987,-0.057020247
2015-02-01,-0.09899598,-0.004668236,-0.013644755,-0.04555106,0.05772543,-0.0048124194,-0.063512504,-0.01154685,-0.0041629076,0.023112893,-0.009113014,0.003018856,-0.030829787,0.0062179565,-0.09158504,-0.060109854,0.010654449,-0.04210353
2015-03-01,-0.10841572,-0.026417017,-0.019998252,-0.05148679,0.11274409,-0.005703032,-0.07778436,-0.011062682,-0.0020046234,0.02325797,-0.019045234,0.0017288923,-0.036095142,0.01949513,-0.09571248,-0.056448758,0.006559491,-0.03235811
2015-04-01,-0.1116032,-0.029247046,-0.022687972,-0.053979993,0.10214639,-0.012391865,-0.07019049,-0.013524771,-0.00041222572,0.023854852,-0.013112903,0.0005005598,-0.033558607,0.013639092,-0.10394287,-0.054231703,0.0056049824,-0.05557382
2015-05-01,-0.11158842,-0.03643042,-0.024511099,-0.055740237,0.09665871,-0.015370846,-0.07546514,-0.017596364,-0.006633103,0.021298885,-0.0060847998,-0.0015960336,-0.036437392,0.014553547,-0.11683118,-0.05326104,0.007710099,-0.05186695
2015-06-01,-0.11540806,-0.039213777,-0.018795073,-0.06154704,0.018544674,-0.020850122,-0.072067976,-0.022651613,-0.0022062063,0.022464752,-0.004519999,-0.002129972,-0.030501366,0.025204182,-0.12312639,-0.053013504,0.01789248,-0.06140977
2015-07-01,-0.115210116,-0.036858857,-0.023934484,-0.053711414,0.04259169,-0.02413565,-0.06219703,-0.024612486,-0.005883634,0.025390148,-0.008429587,-0.007616341,-0.03927505,0.023855925,-0.12895042,-0.047461092,-0.00073480606,-0.053572237
2015-08-01,-0.10866696,-0.037587345,-0.015389264,-0.055464327,0.07727945,-0.020929098,-0.06660926,-0.033869088,-0.009678483,0.021325111,-0.0042354465,-0.013783336,-0.03960097,0.027140617,-0.12922466,-0.044468045,-0.0035867095,-0.075397134
2015-09-01,-0.10576236,-0.04881847,-0.04289943,-0.05751151,0.052711844,-0.022071242,-0.06506401,-0.033344388,-0.019862771,0.013843656,-0.008467913,-0.015981853,-0.056671083,0.02712512,-0.13177693,-0.05004424,-0.00808835,-0.039854944
2015-10-01,-0.10196155,-0.04848212,-0.040175974,-0.062556446,0.039429426,-0.029712796,-0.06750959,-0.030189931,-0.013956666,0.013808727,-0.002346456,-0.018127799,-0.03370428,0.028674006,-0.12344295,-0.053676963,-0.002005875,-0.0026026964
