Ranking,Country,2018 Index,2017 Index
1,China,8.00,7.88
2,India,7.12,7.14
3,UAE,7.01,7.07
4,Malaysia,6.63,6.66
5,Indonesia,6.50,6.41
6,Saudi Arabia,6.29,6.48
7,Russia,6.10,6.09
8,Mexico,6.06,6.15
9,Brazil,6.03,6.23
10,Turkey,6.03,6.09
11,Qatar,6.02,5.78
12,Chile,5.86,5.88
13,Oman,5.75,5.62
14,Egypt,5.73,5.29
15,Thailand,5.68,5.53
16,Pakistan,5.58,5.39
17,Philippines,5.53,5.42
18,Iran,5.48,5.35
19,Vietnam,5.46,5.33
20,Kazakhstan,5.41,5.60
21,Morocco,5.26,5.23
22,Bahrain,5.24,5.16
23,Bangladesh,5.15,4.94
24,South Africa,5.07,5.26
25,Uruguay,4.92,4.90
26,Colombia,4.92,4.99
27,Peru,4.91,4.78
28,Argentina,4.89,4.94
29,Kuwait,4.85,4.98
30,Algeria,4.78,4.73
31,Nigeria,4.73,5.07
32,Jordan,4.57,4.58
33,Sri Lanka,4.56,4.67
34,Ecuador,4.36,4.44
35,Ukraine,4.27,4.14
36,Ethiopia,4.15,4.00
37,Bolivia,4.02,4.03
38,Ghana,4.00,3.97
39,Tanzania,3.96,3.98
40,Paraguay,3.86,3.86
41,Uganda,3.83,3.81
42,Tunisia,3.78,3.78
43,Kenya,3.76,3.76
44,Libya,3.54,3.57
45,Lebanon,3.48,3.50
46,Cambodia,3.46,3.58
47,Myanmar,3.44,3.45
48,Venezuela,3.32,3.72
49,Mozambique,3.31,3.38
50,Angola,3.28,3.38
