Ranking,Country,"Agility EmergingMarkets LogisticsIndex 2019","DomesticLogisticsOpportunities","InternationalLogisticsOpportunities","BusinessFundamentals"
1,China,8.87,8.82,9.70,7.12
2,India,7.39,8.09,7.20,6.35
3,UAE,6.16,5.56,5.48,8.89
4,Indonesia,6.09,6.32,5.94,5.94
5,Malaysia,6.00,5.23,5.64,8.39
6,Saudi Arabia,5.71,5.27,5.23,7.67
7,Mexico,5.67,5.34,6.23,5.13
8,Qatar,5.62,5.38,4.85,7.84
9,Turkey,5.56,5.27,5.85,5.49
10,Vietnam,5.48,4.88,6.12,5.31
11,Thailand,5.47,4.95,5.79,5.84
12,Oman,5.44,4.98,4.84,7.73
13,Chile,5.42,4.79,5.18,7.26
14,Russia,5.40,5.15,5.55,5.60
15,Brazil,5.35,5.67,5.58,4.17
16,Bahrain,5.24,5.05,4.72,6.80
17,Morocco,5.13,4.65,4.92,6.61
18,Kuwait,5.10,5.09,4.62,6.19
19,Jordan,5.04,4.87,4.78,5.99
20,Philippines,4.96,5.03,5.15,4.40
21,Uruguay,4.93,4.78,4.54,6.10
22,Kazakhstan,4.91,4.78,4.70,5.63
23,Peru,4.88,4.71,5.11,4.71
24,South Africa,4.86,4.66,4.93,5.09
25,Colombia,4.81,4.72,5.01,4.57
26,Egypt,4.80,4.95,4.64,4.84
27,Ukraine,4.75,4.78,4.95,4.25
28,Pakistan,4.74,5.17,4.46,4.44
29,Lebanon,4.71,4.93,4.69,4.30
30,Argentina,4.70,5.01,4.74,3.94
31,Kenya,4.68,4.49,4.62,5.22
32,Ghana,4.66,4.62,4.40,5.31
33,Tunisia,4.64,4.54,4.50,5.16
34,Sri Lanka,4.61,4.54,4.71,4.51
35,Algeria,4.59,4.86,4.25,4.80
36,Ecuador,4.57,4.49,4.62,4.62
37,Iran,4.57,4.83,4.18,4.89
38,Tanzania,4.48,4.57,4.22,4.91
39,Bangladesh,4.47,4.97,4.44,3.47
40,Paraguay,4.43,4.33,4.60,4.27
41,Ethiopia,4.43,4.59,4.39,4.18
42,Cambodia,4.41,4.49,4.50,4.04
43,Nigeria,4.38,4.84,4.29,3.63
44,Bolivia,4.36,4.40,4.57,3.83
45,Uganda,4.34,4.44,4.49,3.77
46,Libya,3.90,4.45,4.41,1.65
47,Mozambique,3.89,4.31,4.50,1.65
48,Myanmar,3.88,4.38,4.52,1.41
49,Angola,3.68,4.43,4.29,0.80
50,Venezuela,3.62,4.52,4.09,0.72
