Ranking,Country,"AEMLI20Overall Index","DomesticOpportunitiesIndex","InternationalOpportunitiesIndex","BusinessFundamentalsIndex"
1,China,8.90,8.87,9.75,7.17
2,India,7.39,8.05,7.54,5.70
3,UAE,6.36,5.57,5.75,9.33
4,Indonesia,6.14,6.33,6.03,5.95
5,Malaysia,6.07,5.30,5.83,8.23
6,Saudi Arabia,6.00,5.44,5.53,8.17
7,Qatar,5.69,5.39,4.85,8.11
8,Mexico,5.67,5.36,6.33,4.91
9,Thailand,5.59,5.09,5.90,5.97
10,Turkey,5.54,5.17,5.80,5.77
11,Vietnam,5.52,4.94,6.17,5.37
12,Chile,5.48,4.86,5.21,7.40
13,Russia,5.46,5.17,5.75,5.45
14,Oman,5.38,4.98,4.87,7.29
15,Bahrain,5.35,5.01,4.66,7.51
16,Brazil,5.24,5.49,5.72,3.68
17,Jordan,5.16,4.91,4.70,6.69
18,Morocco,5.15,4.62,4.95,6.69
19,Kuwait,5.09,5.13,4.61,6.06
20,Egypt,5.05,5.09,4.69,5.74
21,Kazakhstan,5.03,4.73,4.68,6.39
22,Philippines,4.98,4.98,5.22,4.47
23,South Africa,4.87,4.64,4.96,5.16
24,Uruguay,4.87,4.82,4.39,5.98
25,Peru,4.84,4.72,5.12,4.47
26,Colombia,4.83,4.71,5.11,4.49
27,Ukraine,4.77,4.79,4.81,4.64
28,Pakistan,4.74,5.09,4.58,4.34
29,Kenya,4.64,4.59,4.56,4.94
30,Lebanon,4.64,4.89,4.62,4.14
31,Argentina,4.62,4.93,4.67,3.86
32,Algeria,4.62,4.92,4.24,4.81
33,Tunisia,4.60,4.62,4.44,4.87
34,Sri Lanka,4.57,4.52,4.68,4.49
35,Nigeria,4.55,5.05,4.30,3.99
36,Ecuador,4.53,4.51,4.57,4.46
37,Tanzania,4.49,4.61,4.08,5.13
38,Bangladesh,4.45,4.95,4.38,3.54
39,Ghana,4.44,4.57,4.30,4.47
40,Iran,4.39,4.85,4.11,4.01
41,Cambodia,4.36,4.35,4.46,4.19
42,Uganda,4.36,4.37,4.33,4.40
43,Ethiopia,4.24,4.50,4.38,3.38
44,Bolivia,4.23,4.41,4.41,3.48
45,Paraguay,4.21,4.37,4.33,3.63
46,Angola,3.92,4.42,4.31,2.04
47,Myanmar,3.87,4.35,4.45,1.64
48,Mozambique,3.85,4.17,4.33,2.15
49,Libya,3.83,4.45,4.34,1.45
50,Venezuela,3.35,4.37,3.86,0.09
