Ranking,Country,"Overall Scoresand Ranking","DomesticLogisticsOpportunities","InternationalLogisticsOpportunities","BusinessFundamentals"
1,China,8.86,8.81,9.72,7.14
2,India,7.33,8.19,7.16,5.95
3,Indonesia,6.30,6.61,6.11,6.05
4,UAE,6.29,5.63,5.59,9.06
5,Malaysia,6.15,5.41,5.87,8.24
6,Saudi Arabia,5.95,5.35,5.53,8.04
7,Mexico,5.91,5.33,6.70,5.46
8,Vietnam,5.67,5.04,6.41,5.44
9,Qatar,5.67,5.38,4.84,7.97
10,Turkey,5.61,5.22,6.06,5.50
11,Thailand,5.55,5.18,5.69,6.04
12,Chile,5.51,4.86,5.19,7.50
13,Russia,5.40,5.13,5.56,5.64
14,Oman,5.29,4.96,4.86,6.85
15,Bahrain,5.26,4.99,4.69,6.97
16,Brazil,5.21,5.34,5.59,4.15
17,Morocco,5.17,4.59,5.00,6.70
18,Jordan,5.13,4.88,4.70,6.54
19,Kuwait,5.10,5.09,4.50,6.37
20,Egypt,5.05,5.21,4.69,5.50
21,Philippines,5.04,5.05,5.17,4.76
22,Kazakhstan,5.01,4.69,4.73,6.24
23,Uruguay,4.95,4.87,4.40,6.25
24,South Africa,4.90,4.60,4.97,5.38
25,Peru,4.89,4.70,4.99,5.09
26,Ukraine,4.82,4.81,4.98,4.49
27,Colombia,4.79,4.64,4.91,4.86
28,Pakistan,4.68,5.09,4.58,4.04
29,Kenya,4.68,4.54,4.66,4.98
30,Nigeria,4.64,5.23,4.34,4.05
31,Tunisia,4.59,4.58,4.45,4.89
32,Algeria,4.57,4.88,4.21,4.68
33,Lebanon,4.56,4.83,4.56,3.99
34,Sri Lanka,4.54,4.48,4.73,4.24
35,Ecuador,4.53,4.45,4.49,4.79
36,Argentina,4.49,4.87,4.63,3.43
37,Tanzania,4.46,4.54,4.08,5.10
38,Bangladesh,4.44,5.03,4.36,3.40
39,Iran,4.42,4.95,4.24,3.74
40,Ghana,4.42,4.54,4.28,4.46
41,Cambodia,4.40,4.40,4.48,4.25
42,Uganda,4.31,4.34,4.34,4.21
43,Paraguay,4.29,4.35,4.43,3.90
44,Bolivia,4.29,4.39,4.42,3.82
45,Ethiopia,4.22,4.47,4.36,3.43
46,Myanmar,3.88,4.42,4.56,1.35
47,Mozambique,3.79,4.11,4.33,2.01
48,Angola,3.79,4.23,4.24,1.94
49,Libya,3.57,4.41,4.34,0.25
50,Venezuela,3.42,4.30,3.85,0.76
