Rank,"RankChange",Country,"OverallScore","LastYear’sScore","DomesticOpportunities","InternationalOpportunities","BusinessFundamentals","DigitalReadiness"
1,0,China,8.31,9.75,8.47,9.75,7.11,6.63
2,0,India,7.43,7.23,8.04,7.45,5.94,7.61
3,0,UAE,6.59,5.73,5.60,5.89,9.10,7.37
4,0,Malaysia,6.16,5.92,5.29,5.88,7.85,6.72
5,0,Indonesia,6.08,5.51,6.34,5.89,5.77,6.21
6,0,Saudi Arabia,6.07,5.95,5.38,5.74,7.86,6.30
7,0,Qatar,6.02,4.89,5.91,4.96,7.92,6.38
8,0,Thailand,5.67,6.01,5.11,5.98,5.77,6.04
9,0,Mexico,5.55,6.40,5.37,6.32,4.93,5.11
10,1,Vietnam,5.52,5.87,5.02,6.03,5.61,5.43
11,-1,Turkey,5.49,6.01,5.14,5.70,5.80,5.50
12,2,Oman,5.46,4.89,4.95,4.88,7.24,5.81
13,-1,Chile,5.43,5.17,4.83,5.18,7.01,5.55
14,1,Bahrain,5.31,4.68,4.99,4.70,7.15,5.34
15,2,Kuwait,5.25,4.57,5.07,4.64,6.23,5.76
16,3,Jordan,5.19,5.67,4.88,4.75,6.72,5.14
17,-4,Russia,5.18,5.25,5.01,5.41,5.13,5.14
18,0,Philippines,5.18,5.43,5.02,5.28,4.31,5.99
19,-3,Brazil,5.17,4.73,5.42,5.42,4.13,5.19
20,0,Morocco,5.08,4.65,4.64,5.09,6.45,4.69
21,0,Egypt,5.06,5.00,5.15,4.72,5.62,5.00
22,0,Kazakhstan,4.99,4.41,4.66,4.66,6.19,5.10
23,0,Uruguay,4.98,4.70,4.78,4.45,6.14,5.22
24,0,South Africa,4.94,4.95,4.81,5.00,4.99,5.01
25,3,Kenya,4.86,4.61,4.60,4.65,4.97,5.56
26,1,Pakistan,4.81,4.58,5.16,4.63,4.13,5.06
27,-1,Peru,4.78,5.10,4.72,5.12,4.48,4.58
28,-3,Colombia,4.75,5.02,4.67,5.08,4.55,4.53
29,3,Ghana,4.72,4.23,4.61,4.44,5.00,5.14
30,3,Sri Lanka,4.66,4.72,4.49,4.73,4.32,5.12
31,0,Argentina,4.66,4.61,4.87,4.63,4.24,4.68
32,4,Tunisia,4.60,4.60,4.61,4.48,5.06,4.39
33,2,Lebanon,4.58,4.42,4.81,4.61,3.79,4.80
34,0,Nigeria,4.55,4.48,5.15,4.39,3.62,4.61
35,4,Bangladesh,4.53,4.38,5.02,4.48,3.53,4.63
36,-6,Iran,4.50,4.47,4.57,4.11,4.38,5.15
37,5,Tanzania,4.47,4.35,4.62,4.14,4.70,4.58
38,2,Cambodia,4.46,4.28,4.45,4.48,4.16,4.73
39,-1,Ecuador,4.46,4.46,4.50,4.65,4.49,4.03
40,1,Paraguay,4.46,4.22,4.45,4.38,4.30,4.72
41,-4,Algeria,4.45,4.63,4.88,4.24,4.61,3.91
42,-13,Ukraine,4.40,4.97,4.34,4.38,3.95,4.91
43,0,Uganda,4.29,4.39,4.41,4.38,3.91,4.24
44,0,Bolivia,4.14,4.46,4.44,4.46,3.74,3.45
45,0,Ethiopia,4.07,4.36,4.42,4.40,3.21,3.64
46,0,Mozambique,3.76,4.40,4.25,4.39,2.17,3.22
47,1,Venezuela,3.75,4.26,4.48,3.96,1.56,3.99
48,-1,Angola,3.71,3.48,4.37,4.30,1.90,3.11
49,0,Myanmar,3.68,4.25,4.44,4.27,2.04,2.79
50,0,Libya,3.35,2.59,4.48,3.81,1.96,1.84
