Rank,Country,"DomesticLogisticsOpportunities","InternationalLogisticsOpportunities","BusinessFundamentals","DigitalReadiness","OverallIndex Score"
1,China,8.54,9.75,7.06,7.25,8.50
2,India,8.01,7.23,5.96,6.74,7.21
3,UAE,5.58,5.73,9.20,8.63,6.72
4,Malaysia,5.32,5.92,8.19,7.35,6.32
5,Indonesia,6.34,5.95,5.93,6.47,6.17
6,Saudi Arabia,5.35,5.51,8.16,7.07,6.14
7,Qatar,5.79,4.89,7.96,6.52,5.95
8,Thailand,5.13,6.01,5.82,6.54,5.78
9,Mexico,5.54,6.40,5.13,5.40,5.74
10,Turkey,5.28,5.87,5.87,5.96,5.69
11,Vietnam,5.02,6.01,5.48,5.75,5.55
12,Chile,4.87,5.17,7.17,6.14,5.55
13,Russia,5.20,5.67,5.51,5.89,5.53
14,Oman,4.92,4.89,7.26,5.69,5.41
15,Bahrain,4.99,4.68,7.30,5.16,5.28
16,Brazil,5.50,5.43,3.95,5.58,5.25
17,Kuwait,5.02,4.57,6.18,5.92,5.21
18,Philippines,5.00,5.25,4.38,5.99,5.16
19,Jordan,4.86,4.73,6.70,4.97,5.13
20,Morocco,4.59,5.00,6.81,4.34,5.04
21,Egypt,5.13,4.65,5.51,5.00,5.01
22,Kazakhstan,4.67,4.70,6.20,4.93,4.97
23,Uruguay,4.78,4.41,6.08,5.21,4.93
24,South Africa,4.69,4.95,5.00,5.17,4.91
25,Colombia,4.69,5.02,4.52,4.90,4.81
26,Peru,4.70,5.10,4.57,4.52,4.79
27,Pakistan,5.03,4.58,4.33,5.10,4.78
28,Kenya,4.55,4.61,4.92,5.43,4.78
29,Ukraine,4.79,4.97,4.46,4.64,4.77
30,Iran,5.13,4.23,4.30,5.19,4.71
31,Argentina,4.86,4.61,3.92,5.03,4.66
32,Ghana,4.57,4.42,4.62,5.14,4.63
33,Sri Lanka,4.49,4.72,4.36,4.82,4.60
34,Nigeria,5.18,4.28,3.53,4.81,4.55
35,Lebanon,4.76,4.60,4.13,4.33,4.53
36,Tunisia,4.58,4.48,5.03,4.06,4.53
37,Algeria,4.84,4.22,4.99,3.96,4.50
38,Ecuador,4.49,4.63,4.66,3.75,4.44
39,Bangladesh,4.99,4.38,3.44,4.38,4.44
40,Cambodia,4.40,4.47,4.22,4.34,4.39
41,Paraguay,4.39,4.46,4.23,4.38,4.38
42,Tanzania,4.56,4.09,4.72,4.14,4.35
43,Uganda,4.37,4.39,3.88,4.07,4.25
44,Bolivia,4.42,4.46,3.58,3.10,4.07
45,Ethiopia,4.36,4.36,3.15,3.42,4.01
46,Mozambique,4.19,4.40,1.41,2.91,3.60
47,Angola,4.30,4.26,1.02,2.80,3.52
48,Venezuela,4.45,3.86,0.45,3.62,3.48
49,Myanmar,4.40,4.25,0.69,1.83,3.32
50,Libya,4.40,2.20,0.60,1.64,2.59
