Month,CN: Mobile Phone: Shipment: Smart Phone (million),CN: Mobile Phone: Shipment (million),CN: Mobile Phone: Shipment: Local Brand (million),CN: Mobile Phone: Shipment: 5G (million),CN: Mobile Phone: Shipment: 4G (million),CN: Mobile Phone: Shipment: 3G (million),CN: Mobile Phone: Shipment: 2G (million)
2012-01-01,11.023,24.006,,,,13.345,10.661
2012-02-01,12.695,29.989,,,,15.034,14.955
2012-03-01,17.451,39.586,29.427,,,20.350,19.236
2012-04-01,18.114,35.287,27.263,,,19.984,15.303
2012-05-01,18.413,35.868,29.198,,,20.640,15.229
2012-06-01,17.159,30.177,23.519,,,17.521,12.655
2012-07-01,21.010,38.750,31.826,,,20.694,18.056
2012-08-01,23.090,40.916,34.139,,,21.645,19.271
2012-09-01,29.032,52.025,44.362,,,26.548,25.477
2012-10-01,24.637,39.359,32.935,,,23.660,15.699
2012-11-01,27.614,42.162,34.179,,,26.615,15.548
2012-12-01,34.094,49.669,37.997,,,34.008,15.662
2013-01-01,34.368,47.646,34.994,,,31.906,15.740
2013-02-01,16.435,20.792,14.810,,,15.795,4.998
2013-03-01,47.058,63.942,51.500,,,45.075,18.867
2013-04-01,40.365,55.459,46.101,,,39.351,16.108
2013-05-01,45.215,59.081,48.638,,,43.552,15.529
2013-06-01,30.065,42.488,34.311,,,28.510,13.978
2013-07-01,36.211,54.208,45.587,,,34.474,19.734
2013-08-01,35.227,50.782,41.868,,,34.122,16.666
2013-09-01,32.525,43.719,33.852,,,31.132,12.519
2013-10-01,29.492,39.973,30.309,,,28.750,11.180
2013-11-01,33.720,45.671,33.763,,,33.243,12.317
2013-12-01,41.568,53.394,43.638,,0.308,41.456,11.629
2014-01-01,35.093,39.847,26.221,,4.050,30.984,4.814
2014-02-01,19.454,21.434,13.665,,1.594,17.958,1.881
2014-03-01,34.558,39.533,26.978,,4.092,30.694,4.747
2014-04-01,35.529,40.712,34.712,,6.625,29.098,4.990
2014-05-01,31.631,36.469,31.991,,9.265,22.617,4.588
2014-06-01,36.997,42.451,34.265,,14.768,22.658,5.025
2014-07-01,36.310,42.330,35.698,,15.422,21.214,5.693
2014-08-01,24.049,30.275,24.020,,11.612,12.869,5.794
2014-09-01,30.149,35.926,32.413,,19.708,10.741,5.477
2014-10-01,28.194,33.597,26.276,,21.261,7.151,5.184
2014-11-01,38.489,44.543,33.147,,31.601,7.200,5.742
2014-12-01,38.328,45.110,34.607,,31.389,7.160,6.562
2015-01-01,40.420,47.061,36.712,,36.117,4.688,6.256
