Year,All Countries,Canada,USA,Mexico,Sub-Total North America,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Panama,Sub-Total Central America,Antigua,Barbados,Cayman Islands,Cuba,Dominica (West Indies),Dominican Republic,Grenada (West Indies),Haiti,Jamaica (West Indies),Montserrat,Netherland Antilles,Nevis,Puerto Rico,St. Lucia (West Indies),Trinidad,Sub-Total Caribbean,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guayan,Paraguay,Peru,Uruguay,Venezuela,Sub-Total South America,Algeria,Angola,Burundi,Cameroon,Egypt (UAR),Ethiopia,Ghana,Guinea,Ivory Coast,Kenya,Liberia,Libya Arab Republic,Madagascar (Malagasy),Mali,Morocco,Nigeria,Rwanda,Senegal,Somalia,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda (East Africa),Democratic Republic of the Congo,Zambia,Zimbabwe (Rhodesia),Sub-Total Africa,Afghanistan,Bahrain,Benin,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Pakistan,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,Sub-Total Middle East,Albania,Austria,Belgium,Bulgaria,Czechoslovakia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Germany - East,Germany - West,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Malta,Netherlands,Norway,Poland,Portugal,Republic of Belarus,Republic of Lativia,Republic of Lithuania,Republic of Moldova,Romania,Slovak Republic,Spain,Sweden,Switzerland,Ukraine,United Kindom-England-Wales,United Kingdom - N.  Ireland,United Kingdom - Scotland,Yugoslavia,Sub-Total Europe,Bangladesh,China,Hong Kong,India,India (Goa),Indonesia,Japan,Khmer Republic (Cambodia),Korea - South,Malaysia,Mongolia,Myanmar,Nepal,Philippines,Republic of Armenia,Republic of Kazakhstan,Republic of Uzbekistan,Singapore,Sri Lanka (Formerly Ceylon),Taiwan (Formerly Formosa),Thailand,Vietnam,Vietnam - North,Vietnam - South,Sub-Total Asia,Union of Soviet Socialist Republics,Russia,Republic of Azerbaijan,Sub-Total Eurasia,Australia,Fiji,New Zealand,Cook Islands,Sub-Total Oceania,Country of graduation not known
2019,86092,64337,813,139,65289,5,11,23,10,2,9,2,62,18,2,21,50,117,41,214,71,161,45,274,116,3,14,28,1175,120,4,150,27,134,6,10,3,37,8,26,525,123,1,2,11,892,26,44,3,4,26,8,365,5,2,48,577,2,9,5,2454,47,10,2,48,60,46,14,44,4878,27,22,3,541,356,133,41,53,174,21,801,388,128,41,8,7,2744,20,23,107,59,93,22,3,4,5,574,35,42,119,38,77,5,1121,106,2,2,3,57,1,436,9,13,4,2,4,296,10,52,9,67,39,1115,81,351,129,5135,103,185,153,358,1300,17,17,2,19,9,16,0,8,189,1,2,2,21,200,42,4,16,5,117,2786,215,77,1,293,347,4,88,1,440,2765
2018,84260,62744,798,145,63687,4,11,23,10,3,9,3,63,17,2,20,50,103,38,183,66,172,45,259,97,3,15,27,1097,122,4,149,30,128,6,9,3,35,9,27,522,116,1,2,10,900,26,45,3,4,25,8,361,4,2,46,568,2,9,5,2508,46,10,2,48,62,44,13,44,4914,28,22,4,516,349,135,38,52,170,18,797,367,124,37,6,6,2669,20,23,107,60,98,22,3,4,6,543,34,42,120,36,78,5,1101,106,2,2,4,60,2,442,8,13,4,2,2,290,10,54,9,67,39,1183,87,392,134,5214,105,180,163,345,1344,16,18,1,20,10,17,1,9,197,1,2,2,21,203,51,4,15,5,114,2844,212,79,1,292,333,4,93,1,431,2527
2017,83159,62296,787,143,63226,4,11,23,11,3,9,2,63,15,2,19,43,97,41,154,73,181,44,230,64,3,13,27,1006,116,4,136,33,119,6,7,3,37,7,23,491,86,1,1,10,875,26,45,3,3,25,7,359,3,1,36,543,2,8,5,2536,45,10,2,32,63,44,14,45,4830,26,23,3,478,337,130,38,53,166,18,780,349,121,38,6,5,2571,20,24,106,59,111,20,3,4,6,454,28,42,120,41,74,4,1105,103,0,2,4,61,2,448,9,13,6,2,,277,9,58,10,60,32,1254,89,416,138,5214,102,176,170,332,1379,17,17,3,20,11,18,1,7,212,1,2,2,23,204,59,4,13,5,130,2908,212,71,2,285,311,4,98,1,414,2151
2016,80544,60187,771,148,61106,3,11,22,11,3,8,2,60,15,2,17,40,69,41,103,76,186,43,177,48,3,13,26,859,127,3,141,33,118,6,7,3,37,7,26,508,107,1,1,9,860,26,46,3,3,25,7,355,3,1,47,487,1,9,5,2546,40,10,2,43,65,47,15,43,4807,28,19,2,435,309,127,34,53,175,18,761,314,118,39,4,5,2441,20,22,116,57,146,,3,4,6,573,31,41,118,42,75,5,1050,109,2,2,4,58,2,445,8,,,,,289,,57,10,78,,1317,94,445,135,5364,94,167,175,319,1406,17,18,3,21,11,20,1,7,225,,,,23,207,69,5,15,5,132,2940,345,,,,279,4,101,,384,1730
2015,78657,58818,745,145,59708,3,11,23,11,3,9,2,62,10,2,13,38,57,37,74,79,188,40,141,40,3,11,25,758,127,4,134,31,112,6,8,3,37,10,25,497,103,0,0,9,859,25,46,3,3,24,7,333,3,1,39,450,1,8,5,2580,38,10,2,39,68,45,15,41,4757,28,18,2,403,300,115,29,51,184,15,742,269,111,40,3,4,2314,19,20,118,57,150,,3,4,6,547,32,42,116,40,76,5,1036,108,1,1,4,58,2,452,7,,,,,279,,57,9,71,,1415,101,484,135,5455,89,157,183,302,1415,17,14,3,22,11,1,21,7,235,,,,22,205,77,5,14,5,144,2949,333,,,,258,5,101,,364,1460
2014,77479,57942,742,142,58826,3,10,24,11,3,8,2,61,6,1,9,38,39,38,63,96,191,37,97,26,3,7,24,675,129,3,134,35,114,6,6,4,37,12,24,504,109,0,0,9,851,26,47,2,3,23,7,327,2,1,38,396,1,8,5,2614,37,9,4,39,69,42,14,41,4724,25,16,2,356,275,113,30,51,203,14,727,257,115,41,4,4,2233,16,20,129,52,164,,3,4,8,579,39,40,117,42,76,5,1054,104,1,1,4,62,2,457,8,,,,,282,,64,12,86,,1514,101,546,145,5737,82,150,197,280,1452,18,13,3,26,12,0,22,6,246,,,,22,207,97,5,16,6,168,3028,326,,,,245,5,109,,359,1006
2013,74526,55756,693,144,56593,3,11,23,11,3,7,3,61,6,1,6,37,25,38,49,97,195,35,75,18,2,6,24,614,123,3,118,32,99,5,5,5,34,13,22,459,69,0,1,9,820,24,47,2,3,26,7,310,1,1,25,339,1,7,4,2592,35,9,2,23,72,35,15,43,4522,23,13,0,320,255,106,29,48,180,14,704,242,110,41,4,3,2092,16,19,121,51,177,,1,3,8,451,39,40,112,42,79,5,1071,103,1,1,4,62,2,453,8,,,,,260,,68,12,71,,1567,100,586,150,5683,79,142,201,281,1450,17,13,4,24,12,0,21,5,254,,,,22,206,105,7,14,7,178,3042,320,,,,244,5,113,,362,778
2012,72368,54378,663,143,55184,3,10,21,11,3,6,3,57,5,1,6,35,25,33,39,96,194,34,59,14,0,6,20,567,121,3,107,32,98,5,3,4,33,13,20,439,68,0,1,8,800,22,48,1,2,26,8,294,1,1,23,301,1,8,4,2547,32,10,1,22,70,32,14,39,4384,24,12,0,294,239,101,27,46,174,15,680,233,105,42,4,3,1999,15,19,115,47,171,,2,3,7,434,34,40,112,45,78,5,1033,99,0,0,4,60,3,445,9,,,,,253,,69,11,72,,1534,106,586,141,5552,78,132,202,273,1409,17,13,4,25,11,0,21,5,245,,,,22,199,95,6,14,6,174,2951,305,,,,230,5,112,,347,583
2011,70088,52665,652,136,53453,3,9,21,11,3,6,3,56,5,1,3,33,22,28,37,99,197,29,44,12,0,4,12,526,116,2,104,33,97,5,2,5,31,12,18,425,61,0,2,8,780,19,48,1,2,26,8,260,1,1,23,277,1,4,4,2256,28,10,1,17,64,30,13,38,3983,24,11,1,262,216,98,27,42,173,17,643,220,95,37,3,3,1872,12,20,108,42,171,,3,4,7,436,58,19,102,46,83,5,1041,100,1,0,5,60,3,444,10,,,,,221,,69,9,73,,1527,108,600,141,5528,75,130,206,291,1370,17,13,4,28,11,0,20,3,245,,,,23,187,102,6,14,6,182,2933,262,,,,218,5,111,,334,716
2010,69267,52169,623,130,52922,1,8,19,10,3,5,2,48,5,0,2,22,19,26,31,101,197,23,27,6,0,4,8,471,103,2,88,33,82,5,1,5,30,12,14,375,50,0,0,7,690,13,45,1,2,25,8,225,1,0,20,214,0,3,4,2220,29,10,1,14,67,24,10,33,3716,21,9,1,200,188,92,26,40,158,11,542,213,87,40,0,2,1630,10,17,111,37,164,,3,4,7,421,34,19,98,46,81,6,1055,91,0,0,5,56,3,420,11,,,,,200,,73,7,75,,1531,105,619,132,5441,63,112,207,199,1353,20,14,4,29,10,0,19,0,234,,,,25,182,108,6,13,6,185,2789,215,,,,207,4,110,,321,1339
