"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202301","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","112","Number of item","577464","Kilogram","149,283,986",
"202301","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","113","Number of item","752966","Kilogram","304,276,187",
"202301","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","33","Number of item","149728","Kilogram","65,878,127",
"202301","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","15","Number of item","109492","Kilogram","30,855,953",
"202301","84862031","Step and repeat alignersw","14","Number of item","118297","Kilogram","33,413,717",
"202301","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","47","Number of item","342599","Kilogram","146,841,302",
"202301","84862041","Dry plasma etching for the manufacture of semiconductor or IC","87","Number of item","461994","Kilogram","197,865,888",
"202301","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","37","Number of item","162378","Kilogram","39,936,054",
"202301","84862050","Ion implanters","16","Number of item","312017","Kilogram","56,604,074",
"202301","84862090","Other apparatus for the manufacture of semiconductor devices","201","Number of item","441715","Kilogram","115,408,396",
"202302","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","107","Number of item","469057","Kilogram","132,832,345",
"202302","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","89","Number of item","705127","Kilogram","287,696,884",
"202302","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","49","Number of item","232533","Kilogram","48,376,848",
"202302","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","9","Number of item","31452","Kilogram","20,171,267",
"202302","84862031","Step and repeat alignersw","22","Number of item","236059","Kilogram","122,308,842",
"202302","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","61","Number of item","504979","Kilogram","183,626,105",
"202302","84862041","Dry plasma etching for the manufacture of semiconductor or IC","80","Number of item","472119","Kilogram","240,019,414",
"202302","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","46","Number of item","215800","Kilogram","49,212,489",
