"Date of data","Commodity code","Commodity","US dollar",
"201801","8541","-","2,312,939,258",
"201802","8541","-","2,104,978,152",
"201803","8541","-","2,561,223,152",
"201804","8541","-","2,385,215,752",
"201805","8541","-","2,329,616,402",
"201806","8541","-","2,435,051,375",
"201807","8541","-","2,535,307,613",
"201808","8541","-","2,572,287,004",
"201809","8541","-","2,584,888,997",
"201810","8541","-","2,327,304,859",
"201811","8541","-","2,405,432,625",
"201812","8541","-","2,431,026,793",
