"Date of data","Commodity code","Commodity","US dollar",
"201801","8541","-","2,378,548,480",
"201802","8541","-","1,764,989,175",
"201803","8541","-","2,481,184,804",
"201804","8541","-","2,320,680,796",
"201805","8541","-","2,575,194,566",
"201806","8541","-","2,412,386,699",
"201807","8541","-","2,687,891,095",
"201808","8541","-","2,536,587,641",
"201809","8541","-","2,683,257,249",
"201810","8541","-","2,406,217,009",
"201811","8541","-","2,317,680,167",
"201812","8541","-","1,954,550,050",
