Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Iceland,1.111,1.16,1.143,1.099,1.159,1.164,1.16,1.142,1.138,1.084,1.096,1.072,1.078
New Zealand,1.261,1.26,1.251,1.255,1.276,1.291,1.271,1.263,1.238,1.216,1.188,1.221,1.198
Portugal,1.387,1.437,1.472,1.485,1.52,1.525,1.466,1.418,1.324,1.273,1.315,1.274,1.247
Austria,1.337,1.369,1.383,1.416,1.407,1.309,1.287,1.264,1.249,1.292,1.273,1.291,1.275
Denmark,1.272,1.269,1.334,1.29,1.235,1.197,1.179,1.179,1.201,1.299,1.313,1.316,1.283
Canada,1.374,1.418,1.5,1.46,1.438,1.342,1.325,1.337,1.337,1.332,1.338,1.327,1.298
Singapore,1.58,1.518,1.486,1.461,1.441,1.455,1.416,1.387,1.393,1.4,1.382,1.347,1.321
Slovenia,1.39,1.388,1.387,1.388,1.438,1.434,1.43,1.421,1.39,1.373,1.39,1.355,1.337
Japan,1.325,1.33,1.328,1.333,1.346,1.309,1.33,1.315,1.374,1.377,1.381,1.369,1.36
Czech Republic,1.495,1.496,1.464,1.383,1.435,1.421,1.424,1.443,1.369,1.368,1.379,1.375,1.366
Switzerland,1.432,1.464,1.452,1.426,1.4,1.383,1.382,1.372,1.367,1.369,1.403,1.383,1.369
Ireland,1.367,1.468,1.439,1.481,1.43,1.435,1.419,1.422,1.423,1.417,1.394,1.39,1.375
Australia,1.367,1.391,1.393,1.447,1.497,1.451,1.387,1.367,1.4,1.387,1.398,1.419,1.386
Finland,1.409,1.416,1.41,1.414,1.385,1.385,1.383,1.399,1.447,1.527,1.505,1.488,1.404
Bhutan,1.881,1.902,1.95,1.932,1.75,1.679,1.66,1.638,1.572,1.604,1.521,1.506,1.479
Malaysia,1.635,1.657,1.618,1.54,1.611,1.585,1.579,1.585,1.635,1.65,1.616,1.529,1.494
Netherlands,1.578,1.599,1.635,1.611,1.577,1.549,1.538,1.527,1.526,1.54,1.528,1.53,1.496
Belgium,1.494,1.504,1.517,1.5,1.493,1.473,1.442,1.437,1.47,1.536,1.538,1.533,1.496
Sweden,1.389,1.382,1.39,1.409,1.409,1.399,1.375,1.383,1.42,1.489,1.507,1.533,1.501
Norway,1.365,1.388,1.407,1.482,1.563,1.53,1.556,1.483,1.488,1.504,1.515,1.536,1.525
Hungary,1.427,1.558,1.544,1.59,1.557,1.542,1.51,1.519,1.502,1.503,1.542,1.54,1.528
Germany,1.592,1.613,1.633,1.621,1.62,1.555,1.475,1.482,1.487,1.515,1.527,1.547,1.541
Slovakia,1.542,1.529,1.548,1.592,1.573,1.591,1.543,1.539,1.594,1.627,1.564,1.55,1.544
Mauritius,1.599,1.614,1.608,1.613,1.595,1.516,1.511,1.526,1.557,1.528,1.53,1.562,1.559
Romania,1.61,1.637,1.701,1.69,1.686,1.669,1.648,1.638,1.648,1.616,1.592,1.606,1.568
Bulgaria,1.708,1.733,1.709,1.651,1.693,1.712,1.619,1.684,1.641,1.631,1.632,1.607,1.615
Chile,1.695,1.718,1.755,1.783,1.687,1.669,1.649,1.633,1.623,1.603,1.646,1.634,1.616
Croatia,1.814,1.84,1.773,1.761,1.723,1.688,1.656,1.662,1.665,1.674,1.639,1.645,1.628
Poland,1.655,1.663,1.714,1.628,1.603,1.568,1.524,1.503,1.549,1.688,1.728,1.654,1.657
Botswana,1.757,1.712,1.691,1.709,1.702,1.676,1.766,1.663,1.633,1.641,1.682,1.676,1.68
Qatar,1.618,1.429,1.483,1.487,1.535,1.588,1.549,1.64,1.603,1.562,1.785,1.696,1.69
Spain,1.721,1.782,1.807,1.739,1.668,1.667,1.63,1.556,1.582,1.552,1.676,1.699,1.691
Costa Rica,1.619,1.631,1.654,1.793,1.74,1.801,1.781,1.706,1.705,1.7,1.766,1.706,1.693
Uruguay,1.7,1.714,1.703,1.647,1.728,1.689,1.698,1.759,1.715,1.703,1.754,1.711,1.7
Latvia,1.643,1.746,1.742,1.746,1.744,1.694,1.657,1.707,1.666,1.671,1.679,1.718,1.704
Taiwan,1.813,1.873,1.731,1.707,1.638,1.639,1.643,1.721,1.751,1.725,1.737,1.725,1.705
