start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
104.151.73.110,104.151.73.111,104.151.0.0,Düsseldorf,North Rhine-Westphalia,DE,51.22172,6.77616,40210,Europe/Berlin
105.97.225.162,105.97.225.162,105.97.0.0,Algiers,Algiers,DZ,36.73225,3.08746,16006,Africa/Algiers
102.29.212.76,102.29.212.79,102.29.0.0,Douz,Kebili Governorate,TN,33.46632,9.0203,,Africa/Tunis
103.175.46.47,103.175.46.47,103.175.0.0,Kuningan,West Java,ID,-6.97583,108.48306,,Asia/Jakarta
106.192.26.157,106.192.26.158,106.192.0.0,Kulu,Himachal Pradesh,IN,31.95835,77.10823,175101,Asia/Kolkata
106.193.63.158,106.193.63.159,106.193.0.0,Naregal,Karnataka,IN,15.57316,75.80805,582119,Asia/Kolkata
104.224.152.0,104.224.167.255,104.224.0.0,Los Angeles,California,US,34.0443,-118.2509,90014,America/Los_Angeles
1.54.79.166,1.54.79.167,1.54.0.0,Bắc Giang,Bắc Giang,VN,21.27307,106.1946,26130,Asia/Bangkok
101.182.77.188,101.182.77.188,101.182.0.0,Huntly,Victoria,AU,-36.66451,144.33382,3551,Australia/Melbourne
106.192.195.230,106.192.195.230,106.192.0.0,Pālampur,Himachal Pradesh,IN,32.0478,76.7256,176077,Asia/Kolkata
1.146.176.106,1.146.176.107,1.146.0.0,Greenbushes,Western Australia,AU,-33.84965,116.05819,6254,Australia/Perth
101.167.36.22,101.167.36.31,101.167.0.0,Townsville,Queensland,AU,-19.29718,146.76603,4814,Australia/Brisbane
103.249.36.8,103.249.36.14,103.249.0.0,Hindupur,Andhra Pradesh,IN,13.82807,77.49143,515202,Asia/Kolkata
106.192.20.219,106.192.20.219,106.192.0.0,Una,Himachal Pradesh,IN,31.65329,76.34464,174321,Asia/Kolkata
1.1.162.106,1.1.162.107,1.1.0.0,Khun Tan,Chiang Rai,TH,19.83353,100.25858,57340,Asia/Bangkok
